Order ID,Product Category,Profit,Revenue,Cost ,Date
ORD-202486578,nan,7483,23814,16331,7/9/2023
ORD-202379684,HOME APPLIANCES,27841,298557,270716,24-08-2024
ORD-202440629,Electronics,"$28,339 ","$194,238 ","165,899",11/29/2022
ORD-202498033,electronics,22422,180159,157737,6/10/2025
ORD-202316766,Furniture,18480,85672,67192,8/11/2024
ORD-202658896,None,26622,228935,202313,19-04-2023
ORD-202665267,Furniture,68043,271732,203689,7/9/2024
ORD-202444579,Home Appliances,19584,84015,64431,20-06-2025
ORD-202235334,electronics,"$45,201 ","$257,521 ","212,320",10/29/2024
ORD-202533205,Home Appliances,24696,"$251,738 ","$227,042 ",7/6/2024
ORD-202377260,furniture,"$32,621 ","$177,695 ","145,074",6/6/2024
ORD-202435016,Home Appliances,"$3,898 ","$29,343 ","25,445",5/8/2025
ORD-202354428,HOME APPLIANCES,37503,160755,123252,11/25/2026
ORD-202220645,Electronics,53485,"$182,893 ","$129,408 ",2/15/2024
ORD-202469478,Furniture,4381,"$21,835 ","$17,454 ",15-06-2026
ORD-202688071,Home Appliances,35283,140558,105275,1/14/2025
ORD-202536854,Electronics,30854,169862,139008,11/15/2024
ORD-202635458,None,77132,"$233,499 ","$156,367 ",1/25/2022
ORD-202634060,electronics,68167,"$225,266 ","$157,099 ",10/26/2022
ORD-202537754,Furniture,"$3,878 ","$25,749 ","21,871",6/4/2022
ORD-202596560,electronics,50853,"$252,063 ","$201,210 ",19-07-2022
ORD-202397986,Home Appliances,None,"$34,199 ","$29,233 ",4/24/2022
ORD-202619699,Home Appliances,"$4,794 ","$30,327 ","25,533",7/7/2026
ORD-202490836,None,72489,237281,164792,13-09-2026
ORD-202386983,Furniture,8803,167913,159110,9/24/2022
ORD-202364676,HOME APPLIANCES,Null,190970,163123,12/10/2024
ORD-202533205,nan,32927,"$202,314 ","$169,387 ",30-03-2023
ORD-202237754,Home Appliances,15719,56095,40376,4/2/2024
ORD-202221647,Furniture,30399,"$171,676 ","$141,277 ",1/9/2024
ORD-202690344,Furniture,6774,"$21,054 ","$14,280 ",3/11/2022
ORD-202438115,None,"$5,486 ","$21,649 ","16,163",4/11/2025
ORD-202345931,Furniture,7430,"$27,191 ","$19,761 ",4/18/2022
ORD-202411664,None,9206,"$125,370 ","$116,164 ",14-07-2023
ORD-202563189,electronics,-5724,"$60,093 ","$54,369 ",10/22/2025
ORD-202695398,Furniture,56520,162646,106126,30-07-2026
ORD-202217809,HOME APPLIANCES,21422,"$189,048 ","$167,626 ",9/15/2026
ORD-202332546,Electronics,24932,78410,53478,24-04-2023
ORD-202397986,Home Appliances,82692,281093,198401,7/26/2026
ORD-202542874,nan,66399,267320,200921,6/6/2022
ORD-202288910,furniture,"$34,149 ","$129,254 ","95,105",10/10/2025
ORD-202678271,nan,21466,192954,171488,12/22/2022
ORD-202388969,None,6886,111516,104630,3/6/2025
ORD-202295975,furniture,6662,"$23,311 ","$16,649 ",9/9/2024
ORD-202670723,furniture,68105,"$208,922 ","$140,817 ",9/28/2026
ORD-202579262,nan,21670,192323,170653,8/21/2025
ORD-202441797,Electronics,67673,248613,180940,10/6/2022
ORD-202555562,nan,"$33,982 ","$230,921 ","196,939",27-02-2023
ORD-202697795,HOME APPLIANCES,30685,"$250,389 ","$219,704 ",6/27/2024
ORD-202325260,Furniture,"$33,567 ","$154,475 ","120,908",11/9/2022
ORD-202536312,Furniture,18692,"$220,032 ","$201,340 ",4/12/2022
ORD-202233703,HOME APPLIANCES,"$42,545 ","$230,313 ","187,768",6/20/2024
ORD-202550553,Furniture,"$99,747 ","$285,189 ","185,442",2/10/2022
ORD-202254244,electronics,74523,282488,207965,10/29/2023
ORD-202379567,furniture,21564,"$66,966 ","$45,402 ",1/29/2023
ORD-202696521,Electronics,"($86,290)","$289,565 ","203,275",8/11/2025
ORD-202211587,nan,54921,"$163,938 ","$109,017 ",2/3/2023
ORD-202539239,furniture,"$50,255 ","$150,402 ","100,147",7/27/2022
ORD-202519064,furniture,"$18,761 ","$122,178 ","103,417",14-10-2025
ORD-202683967,None,"$24,484 ","$261,054 ","236,570",3/17/2022
ORD-202271228,None,44095,223044,178949,12/19/2022
ORD-202396882,HOME APPLIANCES,"$5,008 ","$34,305 ","29,297",9/4/2024
ORD-202524184,electronics,30508,145111,114603,9/7/2026
ORD-202233744,nan,30096,"$194,771 ","$164,675 ",3/26/2023
ORD-202340453,Electronics,40068,127554,87486,6/3/2024
ORD-202243455,nan,"$77,772 ","$266,425 ","188,653",4/4/2026
ORD-202465163,Home Appliances,"$18,284 ","$103,071 ","84,787",12/22/2024
ORD-202311618,electronics,"$5,550 ","$23,262 ","17,712",4/23/2023
ORD-202311618,None,"$6,476 ","$119,066 ","112,590",11/6/2023
ORD-202679517,None,"$16,295 ","$68,599 ","52,304",25-10-2025
ORD-202596560,HOME APPLIANCES,"$27,016 ","$221,449 ","194,433",7/20/2023
ORD-202218616,nan,"$14,029 ","$142,097 ","128,068",19-05-2026
ORD-202389227,furniture,10646,119693,109047,1/24/2025
ORD-202565344,nan,71047,221278,150231,11/22/2026
ORD-202597641,furniture,7377,113237,105860,25-11-2023
ORD-202610789,Electronics,84933,250321,165388,10/17/2022
ORD-202420026,Furniture,26811,92656,65845,16-03-2022
ORD-202387741,electronics,7842,51081,43239,17-02-2024
ORD-202336680,electronics,"$20,470 ","$64,337 ","43,867",2/23/2022
ORD-202368766,furniture,23735,113578,89843,8/16/2026
ORD-202570929,Electronics,56358,257623,201265,7/12/2022
ORD-202527726,None,"$23,449 ","$92,910 ","69,461",10/15/2022
ORD-202455316,None,33699,"$176,970 ","$143,271 ",11/22/2023
ORD-202653979,Electronics,40761,"$138,172 ","$97,411 ",5/23/2023
ORD-202519473,furniture,19400,126516,107116,8/7/2026
ORD-202664442,HOME APPLIANCES,20720,137556,116836,5/21/2025
ORD-202661120,None,12366,91893,79527,14-09-2024
ORD-202650323,Furniture,27045,"$118,783 ","$91,738 ",11/30/2026
ORD-202654878,Electronics,3725,33247,29522,10/18/2022
ORD-202498033,furniture,93836,268371,174535,6/2/2026
ORD-202679517,Furniture,59386,"$245,844 ","$186,458 ",8/30/2026
ORD-202336529,None,46661,137451,90790,7/28/2022
ORD-202431568,nan,-56623,166608,109985,4/13/2026
ORD-202548590,None,57822,242771,184949,23-07-2025
ORD-202694072,Home Appliances,14350,"$107,697 ","$93,347 ",9/19/2025
ORD-202217535,furniture,6971,"$46,237 ","$39,266 ",8/12/2024
ORD-202379684,nan,3472,47925,44453,7/23/2025
ORD-202438115,Home Appliances,46068,"$244,768 ","$198,700 ",12/23/2024
ORD-202440303,Furniture,"$43,097 ","$266,498 ","223,401",11/11/2023
ORD-202520539,nan,51279,157119,105840,8/25/2025
ORD-202510602,None,,"$60,141 ","44,780",21-12-2022
ORD-202270374,nan,-33790,"$132,742 ","$98,952 ",9/13/2026
ORD-202252733,Home Appliances,17839,"$110,067 ","$92,228 ",4/28/2022
ORD-202315364,nan,12254,"$40,979 ","$28,725 ",24-07-2025
ORD-202484306,Electronics,40065,"$198,528 ","$158,463 ",27-07-2024
ORD-202529245,electronics,11598,59088,47490,25-11-2025
ORD-202445881,Furniture,7472,"$74,648 ","$67,176 ",8/16/2024
ORD-202447295,furniture,32990,186048,153058,9/1/2026
ORD-202665499,Furniture,19078,183345,164267,1/13/2025
ORD-202666937,None,6980,102315,95335,28-02-2026
ORD-202577705,furniture,29774,"$189,420 ","$159,646 ",10/28/2023
ORD-202547456,nan,27269,"$194,995 ","$167,726 ",11/30/2026
ORD-202643340,Home Appliances,"$14,226 ","$266,238 ","252,012",11/12/2024
ORD-202357756,Electronics,"$5,100 ","$44,004 ","38,904",30-11-2023
ORD-202453150,Electronics,"$17,542 ","$120,174 ","102,632",12/19/2026
ORD-202233074,electronics,-44967,177566,132599,7/28/2024
ORD-202629549,electronics,70785,229372,158587,7/7/2022
ORD-202630626,None,Null,"$20,274 ","$18,149 ",3/15/2023
ORD-202651046,None,30165,208749,178584,5/12/2026
ORD-202271095,Home Appliances,56932,261334,204402,29-08-2022
ORD-202471529,furniture,21026,135392,114366,30-05-2022
ORD-202351335,Electronics,23367,163507,140140,4/5/2026
ORD-202619761,furniture,7883,47398,39515,9/6/2023
ORD-202519473,Electronics,"$7,323 ","$62,942 ","55,619",9/24/2022
ORD-202555585,nan,40950,"$177,432 ","$136,482 ",2/11/2023
ORD-202612668,nan,"$32,138 ","$138,588 ","106,450",12/26/2022
ORD-202550553,nan,5824,"$38,705 ","$32,881 ",3/20/2025
ORD-202570929,electronics,29006,"$299,420 ","$270,414 ",8/10/2022
ORD-202432666,None,11943,90271,78328,2/15/2024
ORD-202542252,HOME APPLIANCES,-12216,229494,217278,7/4/2025
ORD-202397135,electronics,59445,247050,187605,2/21/2023
ORD-202441657,furniture,26582,112056,85474,6/16/2025
ORD-202563189,furniture,77369,"$295,137 ","$217,768 ",6/16/2023
ORD-202221878,nan,28774,94296,65522,7/25/2025
ORD-202511609,HOME APPLIANCES,10105,68590,58485,7/4/2022
ORD-202259712,nan,-20090,"$130,560 ","$110,470 ",30-11-2025
ORD-202563665,Home Appliances,"$54,687 ","$173,351 ","118,664",10/2/2022
ORD-202244349,HOME APPLIANCES,11786,"$114,177 ","$102,391 ",10/29/2024
ORD-202378215,nan,30227,"$189,631 ","$159,404 ",1/8/2022
ORD-202496987,electronics,3967,15366,11399,6/14/2024
ORD-202478902,furniture,66907,270421,203514,11/9/2024
ORD-202650323,None,"$2,048 ","$17,735 ","15,687",1/24/2024
ORD-202389227,nan,12817,43249,30432,1/11/2024
ORD-202565656,nan,"$6,940 ","$34,446 ","27,506",9/24/2026
ORD-202327954,Home Appliances,19167,"$85,876 ","$66,709 ",2/6/2025
ORD-202326793,None,"$2,408 ","$34,707 ","32,299",10/23/2023
ORD-202453150,nan,28828,109615,80787,2/20/2025
ORD-202534334,nan,"$16,376 ","$156,556 ","140,180",10/16/2023
ORD-202496987,Furniture,"$60,484 ","$263,236 ","202,752",6/12/2024
ORD-202680269,Home Appliances,50511,"$270,772 ","$220,261 ",12/3/2022
ORD-202511609,furniture,"$63,351 ","$294,239 ","230,888",6/18/2022
ORD-202597641,electronics,Null,174989,160346,9/3/2025
ORD-202258615,HOME APPLIANCES,32834,"$241,375 ","$208,541 ",5/20/2025
ORD-202575718,Electronics,-47846,"$168,201 ","$120,355 ",8/12/2026
ORD-202438115,Home Appliances,46486,159599,113113,5/20/2023
ORD-202560589,furniture,35420,160362,124942,12/28/2023
ORD-202519064,Electronics,"$47,097 ","$213,456 ","166,359",7/29/2024
ORD-202448957,Furniture,14863,"$273,768 ","$258,905 ",9/28/2025
ORD-202614236,Home Appliances,33855,"$218,801 ","$184,946 ",12/29/2026
ORD-202327531,HOME APPLIANCES,11352,"$131,057 ","$119,705 ",1/28/2026
ORD-202411664,Home Appliances,75338,252988,177650,5/10/2024
ORD-202317809,Furniture,71442,298677,227235,18-09-2022
ORD-202438115,HOME APPLIANCES,36285,167710,131425,4/3/2025
ORD-202329415,electronics,18480,"$252,408 ","$233,928 ",11/20/2025
ORD-202547376,Electronics,23556,"$93,103 ","$69,547 ",6/1/2023
ORD-202549740,Home Appliances,"$43,565 ","$178,787 ","135,222",6/12/2026
ORD-202643974,Electronics,"$60,517 ","$187,225 ","126,708",10/23/2023
ORD-202457834,nan,23693,80209,56516,3/9/2025
ORD-202559500,nan,"$48,948 ","$255,500 ","206,552",5/20/2022
ORD-202413565,Furniture,20370,287135,266765,2/21/2022
ORD-202551837,Electronics,"$6,048 ","$70,366 ","64,318",6/9/2024
ORD-202520539,Home Appliances,2487,30260,27773,6/15/2026
ORD-202650527,electronics,"$1,482 ","$20,674 ","19,192",4/7/2023
ORD-202630696,Electronics,"($19,143)","$98,403 ","79,260",5/5/2025
ORD-202532609,HOME APPLIANCES,15016,"$57,167 ","$42,151 ",7/13/2024
ORD-202480948,furniture,71806,209064,137258,2/13/2023
ORD-202250801,Electronics,"$7,513 ","$28,019 ","20,506",4/6/2025
ORD-202675566,Furniture,60420,213980,153560,9/6/2022
ORD-202299006,Furniture,"$2,600 ","$28,590 ","25,990",6/6/2026
ORD-202296962,HOME APPLIANCES,"$21,960 ","$161,261 ","139,301",11/16/2026
ORD-202257550,Electronics,3331,20674,17343,5/25/2026
ORD-202228391,electronics,"$7,811 ","$56,154 ","48,343",2/21/2023
ORD-202314666,Furniture,"$32,760 ","$271,191 ","238,431",8/21/2022
ORD-202553834,Electronics,22388,117121,94733,16-09-2026
ORD-202393334,Furniture,9835,"$71,259 ","$61,424 ",1/5/2025
ORD-202478902,Electronics,15091,"$82,568 ","$67,477 ",5/25/2026
ORD-202315309,None,"$22,659 ","$166,871 ","144,212",9/13/2024
ORD-202257135,Electronics,73523,254890,181367,7/26/2026
ORD-202275997,furniture,"$3,153 ","$20,360 ","17,207",3/28/2026
ORD-202393334,Furniture,44136,153189,109053,3/28/2022
ORD-202258615,nan,"$55,555 ","$277,740 ","222,185",10/12/2024
ORD-202338413,nan,"$56,571 ","$216,522 ","159,951",3/28/2024
ORD-202662278,furniture,"$22,015 ","$93,825 ","71,810",17-12-2025
ORD-202315364,None,None,"$124,824 ","$110,005 ",11/29/2023
ORD-202559500,Furniture,41214,170054,128840,7/23/2025
ORD-202397135,electronics,29203,"$89,066 ","$59,863 ",5/7/2022
ORD-202634060,None,49122,"$175,388 ","$126,266 ",1/1/2024
ORD-202368816,Home Appliances,-32213,"$124,353 ","$92,140 ",3/9/2024
ORD-202421443,furniture,21244,157050,135806,10/16/2026
ORD-202295509,Electronics,"$43,688 ","$235,606 ","191,918",1/3/2023
ORD-202423664,None,-4729,61804,57075,10/10/2023
ORD-202249883,electronics,28234,"$226,381 ","$198,147 ",1/8/2026
ORD-202261836,None,4260,"$59,649 ","$55,389 ",12/20/2024
ORD-202539239,Furniture,"$34,148 ","$103,710 ","69,562",10/4/2024
ORD-202557837,Home Appliances,40009,"$146,458 ","$106,449 ",7/3/2024
ORD-202265439,Home Appliances,4687,"$79,824 ","$75,137 ",27-04-2026
ORD-202529083,furniture,"$28,297 ","$191,511 ","163,214",3/20/2022
ORD-202296561,Electronics,67009,"$279,349 ","$212,340 ",24-01-2025
ORD-202660161,Electronics,-49214,167302,118088,26-10-2026
ORD-202218616,nan,23546,185011,161465,1/14/2023
ORD-202440629,Home Appliances,43978,"$170,480 ","$126,502 ",7/2/2026
ORD-202529245,furniture,-13409,"$90,706 ","$77,297 ",7/7/2023
ORD-202480948,Home Appliances,"$48,732 ","$268,650 ","219,918",9/19/2024
ORD-202636791,Furniture,17608,"$122,898 ","$105,290 ",4/25/2024
ORD-202292974,HOME APPLIANCES,Null,"$129,690 ","$98,372 ",7/14/2022
ORD-202638972,HOME APPLIANCES,"$54,751 ","$278,588 ","223,837",7/11/2024
ORD-202532609,electronics,63943,"$196,990 ","$133,047 ",4/7/2023
ORD-202265439,Furniture,29002,"$113,648 ","$84,646 ",18-06-2025
ORD-202316766,Furniture,2744,"$53,744 ","$51,000 ",5/15/2023
ORD-202640831,Furniture,11615,"$37,898 ","$26,283 ",11/20/2026
ORD-202354891,Electronics,"$67,779 ","$299,984 ","232,205",5/19/2023
ORD-202246525,Furniture,93090,266054,172964,7/7/2022
ORD-202653345,None,"$46,909 ","$205,053 ","158,144",1/7/2025
ORD-202362853,electronics,"$51,827 ","$215,051 ","163,224",12/15/2025
ORD-202529719,nan,71365,243123,171758,12/24/2025
ORD-202471529,nan,"$16,496 ","$159,223 ","142,727",1/19/2023
ORD-202537754,Furniture,"$62,475 ","$214,283 ","151,808",3/1/2026
ORD-202597611,furniture,"$27,640 ","$127,609 ","99,969",6/30/2022
ORD-202315309,Furniture,21211,"$98,545 ","$77,334 ",9/25/2022
ORD-202495954,electronics,"$11,235 ","$202,008 ","190,773",1/10/2022
ORD-202417143,Home Appliances,Null,110227,73227,6/26/2023
ORD-202660161,Electronics,"$11,649 ","$63,269 ","51,620",5/25/2024
ORD-202319510,furniture,12597,"$215,483 ","$202,886 ",1/4/2024
ORD-202397175,Electronics,8848,"$122,106 ","$113,258 ",9/4/2026
ORD-202246404,Home Appliances,"$47,644 ","$166,175 ","118,531",8/28/2026
ORD-202431568,None,13463,"$139,481 ","$126,018 ",2/12/2023
ORD-202373883,Home Appliances,14176,41637,27461,6/20/2026
ORD-202619761,None,"$2,571 ","$32,901 ","30,330",5/12/2023
ORD-202524184,electronics,84428,253741,169313,12/24/2022
ORD-202658618,Home Appliances,-44448,"$272,515 ","$228,067 ",6/9/2024
ORD-202662278,electronics,35159,"$211,555 ","$176,396 ",7/11/2023
ORD-202380169,nan,"$13,947 ","$160,208 ","146,261",12/10/2022
ORD-202529245,nan,"$15,578 ","$149,209 ","133,631",18-08-2023
ORD-202573040,nan,2948,29540,26592,11/20/2026
ORD-202488131,furniture,22410,"$266,626 ","$244,216 ",24-04-2026
ORD-202413565,nan,15834,"$77,832 ","$61,998 ",9/20/2025
ORD-202459677,electronics,"$91,677 ","$262,466 ","170,789",23-12-2026
ORD-202550553,Electronics,21485,"$201,359 ","$179,874 ",9/20/2024
ORD-202329415,nan,39214,"$179,552 ","$140,338 ",4/16/2026
ORD-202643974,nan,28267,221132,192865,10/7/2026
ORD-202639381,Home Appliances,64774,222043,157269,7/23/2022
ORD-202388969,HOME APPLIANCES,23699,206125,182426,4/22/2023
ORD-202496673,nan,57812,"$181,528 ","$123,716 ",25-11-2025
ORD-202326895,Home Appliances,"$48,143 ","$189,242 ","141,099",3/3/2022
ORD-202692900,electronics,28245,"$91,469 ","$63,224 ",12/12/2022
ORD-202549538,electronics,27949,"$139,417 ","$111,468 ",12/23/2026
ORD-202526830,nan,73769,"$235,671 ","$161,902 ",7/24/2022
ORD-202377003,Home Appliances,27475,"$88,350 ","$60,875 ",6/26/2023
ORD-202568391,Home Appliances,18448,"$228,673 ","$210,225 ",9/8/2022
ORD-202676665,electronics,"$63,301 ","$185,231 ","121,930",4/25/2026
ORD-202348914,electronics,19168,64486,45318,10/3/2025
ORD-202516980,HOME APPLIANCES,"$60,010 ","$185,466 ","125,456",11/9/2025
ORD-202551837,furniture,19133,"$58,843 ","$39,710 ",26-04-2025
ORD-202343497,Furniture,15526,138716,123190,4/15/2023
ORD-202464859,HOME APPLIANCES,4633,"$26,976 ","$22,343 ",12/24/2026
ORD-202238403,Furniture,52074,"$244,616 ","$192,542 ",2/1/2025
ORD-202431568,furniture,35326,162407,127081,6/24/2025
ORD-202692900,nan,Null,"$35,060 ","26,058",26-08-2023
ORD-202299766,Furniture,"$15,689 ","$83,754 ","68,065",2/3/2025
ORD-202529325,Home Appliances,Null,"$40,470 ","$28,302 ",6/29/2022
ORD-202299582,electronics,"$75,525 ","$272,631 ","197,106",3/6/2022
ORD-202288910,Home Appliances,"$53,129 ","$285,661 ","232,532",8/1/2022
ORD-202499696,None,Null,258632,242743,10/24/2026
ORD-202679285,furniture,26769,103426,76657,1/9/2023
ORD-202589435,Furniture,"$21,387 ","$216,115 ","194,728",12/15/2023
ORD-202490836,HOME APPLIANCES,10135,"$162,474 ","$152,339 ",22-02-2024
ORD-202422784,None,"$36,174 ","$132,737 ","96,563",2/11/2022
ORD-202318071,HOME APPLIANCES,83193,"$270,308 ","$187,115 ",1/3/2022
ORD-202321967,HOME APPLIANCES,13759,"$131,843 ","$118,084 ",24-04-2022
ORD-202241302,None,21752,"$102,930 ","$81,178 ",18-09-2025
ORD-202347779,HOME APPLIANCES,5301,"$51,358 ","$46,057 ",9/17/2024
ORD-202393659,electronics,"($15,215)","$261,547 ","246,332",2/1/2022
ORD-202243455,furniture,"$31,065 ","$133,375 ","102,310",31-05-2025
ORD-202635632,Electronics,"$35,022 ","$120,105 ","85,083",5/15/2026
ORD-202469414,furniture,"$5,435 ","$15,811 ","10,376",11/5/2023
ORD-202385781,None,7189,"$142,347 ","$135,158 ",1/25/2023
ORD-202391062,None,12675,229500,216825,2/10/2025
ORD-202596560,Home Appliances,"$39,611 ","$126,957 ","87,346",5/8/2024
ORD-202647047,HOME APPLIANCES,"$93,416 ","$278,403 ","184,987",6/7/2023
ORD-202532843,electronics,-36484,201268,164784,14-03-2026
ORD-202692900,HOME APPLIANCES,17183,"$84,022 ","$66,839 ",9/28/2026
ORD-202393334,Furniture,1635,"$19,590 ","$17,955 ",6/24/2022
ORD-202591021,nan,13516,"$46,152 ","$32,636 ",4/1/2026
ORD-202651046,None,"($31,337)","$220,000 ","188,663",12/18/2023
ORD-202229760,nan,32974,267251,234277,10/19/2025
ORD-202322621,nan,69468,"$257,372 ","$187,904 ",10/12/2023
